,precision,recall,f1-score,support
High Crime,0.7190839694656489,0.9040307101727447,0.8010204081632653,521.0
Lower Crime,0.9300518134715026,0.7094861660079052,0.804932735426009,506.0
Moderate Crime,0.7489711934156379,0.728,0.7383367139959433,500.0
accuracy,0.7819253438113949,0.7819253438113949,0.7819253438113949,0.7819253438113949
macro avg,0.7993689921175964,0.7805056253935501,0.7814299525284057,1527.0
weighted avg,0.7987783643850702,0.7819253438113949,0.7817917182557913,1527.0
