Model,Test_Accuracy,Weighted_F1,CV_Mean,CV_Std,Features_Used
Random Forest,0.9281045751633987,0.9281246448136622,0.9148633879781422,0.01359886260262327,All 13
Gradient Boosting,0.9673202614379085,0.9672919216914238,0.9685610200364299,0.010501407944086816,All 13
RF (ablation),0.5,0.495105969271939,,,12 (no crime count)
GB (ablation),0.6503267973856209,0.6496269101449449,,,12 (no crime count)
